plant,unstudied_count,studied_count,well_studied_count,total_claims,gap_pct,unstudied_diseases,top_studied
Sapindus rarak,6,0,0,6,100.0,Cosmetic; Insecticide; Pimple; Piscicide; Scabies; Soap,
Jasminum bifarium,6,0,0,6,100.0,Ague; Fever; Ache(Head); Parturition; Vertigo; Yaws,
Derris elliptica,6,1,0,7,85.7,Herbicide; Oxyuriasis; Piscicide; Poison(Arrow); Hepatosis; Impetigo,Insecticide (2)
Ficus septica,6,0,0,6,100.0,Antidote; Antidote(Crab); Dermatitigenic; Emetic; Sting(Fish); Purgative,
Desmodium triflorum,6,1,0,7,85.7,Boil; Diarrhea; Dysentery; Ache(Stomach); Dermatosis; Hematochezia,Tumor (2)
Ochrosia oppositifolia,6,0,0,6,100.0,Abdomen; Anodyne; Antidote(Fish); Spasm; Antidote(Fish poison); Antidote(Crab),
Amaranthus sp,6,0,0,6,100.0,Bronchitis; Expectorant; Insanity; Ache(Tooth); Fracture; Boil,
Graptophyllum pictum,6,0,0,6,100.0,Constipation; Dermatosis; Earache; Swelling; Wound; Emmenagogue,
Caesalpinia sappan,6,1,0,7,85.7,Depurative; Emmenagogue; Mastalgia; Sapraemia; Syphilis; Hematemesis,Antiseptic (1)
Cajanus cajan,6,1,0,7,85.7,Abdomen; Diarrhea; Earache; Enteritis; Dermatosis; Sore,Cough (1)
Corypha utan,6,0,0,6,100.0,Antidote(Fish); Cough; Diarrhea; Enterosis; Wound; Tuberculosis,
Bryophyllum pinnatum,6,2,0,8,75.0,Anodyne; Dermatosis; Ache(Head); Rhagades; Rheumatism; Conjunctivitis,Cancer (7); Cough (4)
Arcangelisia flava,6,1,0,7,85.7,Dyspepsia; Rhinitis; Smallpox; Stomatitis; Vermifuge; Piscicide,Jaundice (1)
Smilax china,6,1,0,7,85.7,Aphrodisiac; Dermatosis; Gonorrhea; Parturition; Rheumatism; Tonic,Syphilis (1)
Flacourtia rukam,6,0,0,6,100.0,Conjunctivitis; Smallpox; Wound; Diarrhea; Dysentery; Dysmenorrhea,
Ixora chinensis,6,0,0,6,100.0,Dysuria; Parturition; Puerperium; Tuberculosis; Urogenital; Hemorrhage,
Erioglossum rubiginosum,6,0,0,6,100.0,Cough; Dermatosis; Pertussis; Fever; Astringent; Gripes,
Lycopodium cernuum,6,0,0,6,100.0,Beriberi; Chest; Cough; Dermatosis; Sore; Beri-Beri,
Helminthostachys zeylanica,6,1,0,7,85.7,Dysentery; Pertussis; Phthisis; Tonic; Catarrh; Tuberculosis,Fever (5)
Cyperus rotundus,6,2,0,8,75.0,Gravel; Leucorrhea; Sore; Stone; Whitlow; Felon,Edema (5); Diuretic (1)
Basella rubra,6,0,0,6,100.0,Aperient; Boil; Laxative; Parturition; Sore; Conjunctivitis,
Acorus calamus,6,3,1,9,66.7,Odontosis; Parturition; Pediculifuge; Venereal; Vermifuge; Splenomegaly,Diarrhea (3); Sedative (4); Cancer (27)
Scoparia dulcis,6,0,0,6,100.0,Cough; Expectorant; Labor; Ache(Stomach); Opium substitute; Syphilis,
Leucas lavandulifolia,6,0,0,6,100.0,Miscarriage; Nervousness; Saccharomycose; Wound; Sore; Vermifuge,
Euphorbia hirta,6,2,0,8,75.0,Bruise; Catarrh; Cornea; Dermatosis; Ringworm; Sore,Conjunctivitis (1); Tumor (13)
Kalanchoe laciniata,6,0,0,6,100.0,Cholera; Cold; Cough; Fever; Smallpox; Ache(Head),
Deeringia amarantoides,6,0,0,6,100.0,Ache(Head); Sore; Sternutatory; Ache(Stomach); Chickenpox?; Smallpox,
Borreria articularis,6,0,0,6,100.0,Anodyne; Gallstone; Ache(Head); Sore; Ache(Stomach); Breast,
Codiaeum variegatum,6,0,0,6,100.0,Abortive; Cough; Dysuria; Purgative; Sore; Syphilis,
Flacourtia jangomas,6,0,0,6,100.0,Dermatosis; Gastromegaly; Diarrhea; Wound; Sore; Sore(Throat),
Mangifera sp.,6,0,0,6,100.0,Miscarriage; Rheumatism; Smallpox; Flatulence; Gonorrhea; Vermifuge,
Sterculia foetida,6,0,0,6,100.0,Abortive; Aperient; Fever; Jaundice; Cachexia; Gonorrhea,
Zingiber zerumbet,6,1,0,7,85.7,Apertif; Bilious; Dysentery; Gallstones; Ache(Stomach); Lassitude,Diarrhea (1)
Carapa granatum,6,0,0,6,100.0,Cholera; Dysentery; Itch; Swelling; Tonic; Mumps,
Chasallia chartacea,6,0,0,6,100.0,Convulsion; Cough; Ache(Head); Parturition; Herpes zoster; Malaria,
Jatropha curcas,6,5,1,11,54.5,Circumscission; Cough; Piscicide; Rheumatism; Hemostat; Narcotic,Laxative (1); Purgative (1); Tumor (26); Wound (12); Diarrhea (5)
Sandoricum indicum,6,0,0,6,100.0,Fever(Remittent); Parturition; Ringworm; Stitch; Vaginitis; Colic,
Physalis minima,6,2,0,8,75.0,Gonorrhea; Ache(Head); Sore; Vermifuge; Wound; Enterosis,Diuretic (1); Fever (2)
Eclipta alba,6,1,0,7,85.7,Gastrosis; Giddiness; Parturition; Ringworm; Ache(Tooth); Vertigo,Skin (12)
Hernandia peltata,6,0,0,6,100.0,Antidote(Ipoh); Depilatory; Hemostat; Purgative; Candlenut; Hemoptysis,
Scurrula gracilifolia,5,0,0,5,100.0,Dullness; Furuncle; Hair-Tonic; Loose Teeth; Vision,
Uvaria purpurea,5,0,0,5,100.0,Colic; Abdomen; Dermatosis; Parturition; Ache(Stomach),
Breynia reclinata,5,0,0,5,100.0,Dermatosis; Fever; Mumps; Swelling; Ache(Head),
Madhuca sp,5,0,0,5,100.0,Burn; Chest; Eruption; Pinworms; Skin,
Eurycoma longifolia,5,6,0,11,45.5,Ache(Head); Parturition; Smallpox; Sore; Itch,Bones (4); Fever (10); Syphilis (1); Vermifuge (1); Malaria (12)
Parameria polyneura,5,0,0,5,100.0,Dysentery; Emmenagogue; Uteromegaly; Wound; Parturition,
Morus alba,5,2,0,7,71.4,Depurative; Dermatosis; Gonorrhea; Lactagogue; Emollient,Sore (2); Wound (14)
Dendrobium crumenatum,5,0,0,5,100.0,Ache(Ear); Boil; Brain; Nerves; Pimple,
Ochanostachys amentacea,5,0,0,5,100.0,Arthritis; Fever; Parturition; Rheumatism; Swelling,
Ervatamia corymbosa,5,0,0,5,100.0,Arrow-poison; Orchitis; Rhinosis; Sore; Syphilis,
Mangifera indica,5,3,0,8,62.5,Ascaricide; Metrorrhagia; Piles; Uterus; Vermifuge,Dysentery (6); Hemorrhage (2); Diarrhea (9)
Dianella ensifolia,5,0,0,5,100.0,Herpes; Rodenticide; Wound; Fever(Preventive); Vermifuge,
Albizia saponaria,5,0,0,5,100.0,Cancer; Impotency; Piscicide; Shampoo; Dandruff,
Moschosma polystachyum,5,0,0,5,100.0,Aphthagenic; Convulsion; Epilepsy; Neuralgia; Palpitations,
Styrax tonkinense,5,0,0,5,100.0,Incense; Perfume; Soap; Vulnerary; Antiseptic,
Kadsura scandens,5,0,0,5,100.0,Fever; Malaise; Puerperium; Ulcer; Rheumatism,
Piper umbellatum,5,1,0,6,83.3,Ague; Bruise; Cough; Gastromegaly; Swelling,Wound (2)
Carica papaya,5,6,1,11,45.5,Gravel; Vermifuge; Wart; Boil; Tumor(Uterus),Abortifacient (5); Arthritis (3); Fever (42); Dysuria (1); Colic (1)
Cinnamomum iners,5,1,0,6,83.3,Ache(Head); Antidote(Antiaris); Fever; Parturition; Post-Natal,Rheumatism (1)
Leea indica,5,0,0,5,100.0,Ache(Head); Anodyne; Sting(Caterpillar); Dermatosis; Eye,
Curcuma longa,5,17,4,22,22.7,Hepatosis; Lactagogue; Pyuria; Gravel; Vulnerary,Cold (24); Conjunctivitis (3); Cosmetic (33); Dysentery (2); Jaundice (8)
Cicca acida,5,0,0,5,100.0,Asthma; Sciatica; Ache(Head); Psoriasis; Lumbago,
Cuscuta sp.,5,0,0,5,100.0,Abortive; Anodyne; Blennorhea; Diaphoretic; Incontinence,
Curcuma purpurascens,5,1,0,6,83.3,Boil; Fever; Scabies; Cough; Itch,Wound (1)
Ficus hispida,5,2,0,7,71.4,Dysuria; Parturition; Ache(Stomach); Wart; Boil,Diarrhea (2); Fever (1)
Pouzolzia zeylanica,5,0,0,5,100.0,Boil; Sore; Vermifuge; Lactagogue; Ache(Stomach),
Emilia sonchifolia,5,3,0,8,62.5,Diarrhea; Ophthalmia; Phthisis; Earache; Sore,Cough (1); Fever (2); Swelling (1)
Eleutherine palmifolia,5,0,0,5,100.0,Antidote; Bite(Bug); Spasm; Wound; Boil,
Antidesma sp,5,0,0,5,100.0,Lumbago; Parturition; Piscicide; Sore; Tonic,
Anisophyllea disticha,5,0,0,5,100.0,Diarrhea; Fever; Jaundice; Dysentery; Weariness,
Acacia farnesiana,5,1,0,6,83.3,Conjunctivitis; Emetic; Nausea; Ophthalmia; Parturition,Tumor (3)
Dendrobium crumentatum,5,1,0,6,83.3,Cerebrosis; Otosis; Pimple; Boil; Cholera,Nerves (1)
Woodfordia fruticosa,5,1,0,6,83.3,Bladder; Parturition; Smallpox; Catarrh; Infertility,Dysentery (2)
Coleus amboinicus,5,3,0,8,62.5,Angina?; Ache(Head); Ache(Stomach); Thrush; Anodyne,Cough (3); Fever (3); Burns (1)
Limnophila rugosa,5,0,0,5,100.0,Diuretic; Impotence; Stomachic; Gonorrhea; Tonic,
Costus speciosus,5,4,0,9,55.6,Alopecia; Dysentery; Ophthalmia; Smallpox; Syphilis,Cough (1); Leprosy (1); Fever (2); Purgative (2)
Ervatamia malaccensis,5,0,0,5,100.0,Arrow-poison; Rhinosis; Sore; Syphilis; Boil,
Scaevola frutescens,5,0,0,5,100.0,Beriberi; Ache(Head); Swelling; Ophthalmia; Diarrhea,
Croton tiglium,5,1,0,6,83.3,Abortive; Arrow-poison; Colic; Piscicide; Homicide,Purgative (7)
Litsea sp,5,0,0,5,100.0,Eruption; Medicine; Pinworms; Skin; Abdomen,
Spilanthes acmella,5,0,0,5,100.0,Piscicide; Sprue; Panacea; Stomatosis; Ache(Tooth),
Alocasia macrorrhiza,5,0,0,5,100.0,Arthritis; Cough; Rubefacient; Ache(Tooth); Antidote(Laportea),
Thottea grandiflora,5,0,0,5,100.0,Ague; Dysentery; Fever; Tonic; Parturition,
Gynura pseudochina,5,0,0,5,100.0,Bruise; Dysmenorrhea; Erysipelas; Tumor(Breast); Pimple,
Piper sarmentosum,5,3,0,8,62.5,Chest; Dermatosis; Ache(Head); Osteosis; Ache(Tooth),Asthma (2); Pleurisy (1); Cough (1)
Aglaia odorata,5,0,0,5,100.0,Dysmenorrhea; Fever; Parturition; Tonic; Venereal,
Euphorbia neriifolia,5,4,0,9,55.6,Earache; Wart; Piscicide; Vermifuge; Sore,Cough (1); Diuretic (1); Asthma (4); Purgative (1)
Polygonum barbatum,5,0,0,5,100.0,Arthritis; Diarrhea; Infertility; Piscicide; Vulnerary,
Curcuma xanthorrhiza,5,2,0,7,71.4,Amenorrhea; Emmenagogue; Gallstones; Hepatosis; Parturition,Choleretic (1); Constipation (1)
Ruta graveolens,5,3,0,8,62.5,Anaphrodisiac; Hysteria; Acaricide; Convulsion; Itch,Cough (1); Earache (1); Fever (2)
Piper porphyrophyllum,5,0,0,5,100.0,Dermatosis; Leprosy; Weakness; Ache(Stomach); Ostealgia,
Celtis sp.,5,0,0,5,100.0,Colic; Fever; Flatulence; Nervousness; Convulsion,
Jussiaea suffruticosa,5,0,0,5,100.0,Ache(Head); Adenopathy; Glands; Nerves; Orchitis,
Callicarpa cana,5,0,0,5,100.0,Arrow-poison; Boil; Emmenagogue; Enterosis; Piscicide,
Sonneratia caseolaris,5,0,0,5,100.0,Cough; Smallpox; Spice; Vermifuge; Dysuria,
Mallotus floribundus,5,0,0,5,100.0,Cholera; Fever; Parturition; Ache(Stomach); Yaws,
Schima noronhae,5,0,0,5,100.0,Piscicide; Smallpox; Uterosis; Hysteria; Parturition,
Bidens pilosa,5,1,0,6,83.3,Boil; Conjunctivitis; Intoxicant; Ache(Tooth); Antidote,Cough (1)
Quisqualis indica,5,0,0,5,100.0,Boil; Ache(Head); Rickets; Sore; Vermifuge,
Ruellia repens,5,0,0,5,100.0,Appendicitis; Abdomen; Ache(Tooth); Sore; Wound,
Cyclophorus nummulariifolius,5,0,0,5,100.0,Colic; Cough; Enterosis; Gingivitis; Pyrorrhea,
Psophocarpus tetragonolobus,5,1,0,6,83.3,Boil; Otosis; Smallpox; Conjunctivitis; Vertigo,Tumor (3)
Strychnos ignatii,5,1,0,6,83.3,Debility; Neuralgia; Stimulant; Tonic; Nerves,Poison (1)
Cnestis palala,5,0,0,5,100.0,Colitis; Malaria; Ache(Stomach); Gonorrhea; Sprain,
Dolichos lablab,5,0,0,5,100.0,Earache; Fever; Eczema; Emmenagogue; Gonorrhea,
Eurycles amboinensis,5,0,0,5,100.0,Antidote(Fish poison); Boil; Emetic; Swelling; Giddiness,
Lantana aculeata,5,0,0,5,100.0,Antiseptic; Emetic; Wound; Rheumatism; Swelling,
Vitex trifolia,5,3,0,8,62.5,Diuretic; Emmenagogue; Enterosis; Insectifuge; Diaphoretic,Tuberculosis (1); Fever (1); Tumor (13)
Pithecellobium clypearia,5,0,0,5,100.0,Cough; Smallpox; Bite(Snake); Chickenpox; Swelling,
Roucheria griffithiana,5,0,0,5,100.0,Sprue; Water vine; Ache(Head); Enterosis; Poison(Arrow),
Celosia cristata,5,0,0,5,100.0,Abdomen; Cramps; Dysmenorrhea; Gonorrhea; Anodyne,
Piper attenuatum,5,0,0,5,100.0,Dysuria; Gonorrhea; Gallbladder; Colic; Fever,
Biophytum sensitivum,5,2,0,7,71.4,Anaphrodisiac (Female); Chest; Gonorrhea; Tuberculosis; Vulnerary,Diabetes (5); Ache(Stomach) (1)
Selaginella willdenovii,5,0,0,5,100.0,Ache(Back); Dermatosis; Itch; Wound; Fever,
Cyrtandra sp,5,0,0,5,100.0,Gangrene; Infection; Styptic; Tenderizer; Wound,
Murraya paniculata,5,2,0,7,71.4,Cosmetic; Stomatosis; Tapeworm; Dysentery; Herpes,Diarrhea (2); Gynecology (1)
Eugenia jambos,5,0,0,5,100.0,Catarrh; Dysentery; Fever; Diarrhea; Smallpox,
Clausena excavata,5,2,0,7,71.4,Colic; Ache(Head); Sore; Vermifuge; Rhinosis,Cough (1); Wound (2)
Chartoloma chartacea,5,0,0,5,100.0,Ache(Head); Sore; Cough; Malaria; Wound,
Hedyotis philippensis,5,0,0,5,100.0,Anodyne; Gonorrhea; Stomachic; Dysentery; Scald,
Sauropus androgynus,5,1,0,6,83.3,Cholecystosis; Sore; Ophthalmia; Yaws; Rhinosis,Fever (4)
Gynandropsis gynandra,5,0,0,5,100.0,Chills; Cold; Fever; Ache(Head); Labor,
Myxopyrum nervosum,5,0,0,5,100.0,Arthritis; Fever; Parturition; Vermifuge; Vertigo,
Caesalpinia pulcherrima,5,2,0,7,71.4,Catarrh; Cough; Gastromegaly; Vermifuge; Convulsion,Diarrhea (1); Swelling (2)
Annona muricata,5,1,0,6,83.3,Boil; Cough; Dermatosis; Dysentery; Scurvy,Rheumatism (2)
Calophyllum inophyllum,5,6,0,11,45.5,Gonorrhea; Metrorrhagia; Piles; Parturition; Stitch,Rheumatism (1); Stroke (3); Vaginitis (1); Wound (13); Eye (3)
Curculigo latifolia,4,1,0,5,80.0,Apertif; Fever; Stimulant; Delirium,Sweetener (4)
Carallia suffruticosa,4,0,0,4,100.0,Vermifuge; Boil; Cough; Fever,
Solanum aculeatissimum,4,0,0,4,100.0,Dermatosis; Nose; Rhinosis; Ache(Tooth),
Dracaena congesta,4,0,0,4,100.0,Anodyne; Rheumatism; Sore; Vermifuge,
Trianthema portulacastrum,4,0,0,4,100.0,Abortifacient; Amenorrhea; Cathartic; Emmenagogue,
Litsea cubeba,4,1,0,5,80.0,Ache(Head); Hysteria; Paralysis; Vertigo,Memory (2)
Ipomoea reptans,4,0,0,4,100.0,Ache(Head); Piles; Insomnia; Laxative,
Hedyotis glabra,4,0,0,4,100.0,Ache(Head); Ache(Stomach); Sore; Depurative,
Peronema canescens,4,0,0,4,100.0,Mouthwash; Ringworm; Fever; Ache(Tooth),
Bonnaya antipoda,4,0,0,4,100.0,Diarrhea; Vertigo; Sore; Vermifuge,
Mussaenda philippica,4,0,0,4,100.0,Ache(Head); Sore; Wound; Fumitory,
Gynura pseudo-china,4,2,1,6,66.7,Emollient; Erysipelas; Resolvent; Tumor(Breast),Tumor (29); Breast (6)
Ocimum sanctum,4,4,0,8,50.0,Gastrosis; Lactagogue; Parturition; Laxative,Bronchitis (7); Demulcent (1); Fever (6); Rheumatism (1)
Arcypteris difformis,4,0,0,4,100.0,Diarrhea; Hemostat; Itch; Malaria,
Smilax calophylla,4,0,0,4,100.0,Aphrodisiac; Gonorrhea; Parturition; Tonic,
Homalomena javanica,4,0,0,4,100.0,Miscarriage; Sore; Syphilis; Wound,
Andrographis paniculata,4,4,3,8,50.0,Bugbite; Stomachic; Anodyne; Bite(Snake),Diabetes (78); Dysentery (6); Fever (44); Malaria (26)
Rourea mimosoide,4,0,0,4,100.0,Cold; Colic; Leprosy; Parturition,
Marsdenia tinctoria,4,0,0,4,100.0,Cosmetic; Enterosis; Hairblack; Ache(Stomach),
Polygala glomerata,4,0,0,4,100.0,Anodyne; Fatigue; Sore(Throat); Asthma,
Citrus hystrix,4,0,0,4,100.0,Ache(Head); Ache(Stomach); Tonic; Vermifuge,
Artocarpus integra,4,0,0,4,100.0,Fever; Parturition; Sore; Ache(Tooth),
Sesbania aegyptiaca,4,0,0,4,100.0,Cough; Gynecology; Hemoptysis; Vermifuge,
Floscopa scandens,4,0,0,4,100.0,Conjunctivitis; Fracture; Ophthalmia; Parturition,
Erigeron sumatrensis,4,0,0,4,100.0,Contraceptive?; Lumbago; Parturition; Rheumatism,
Psidium guajava,4,6,1,10,40.0,Hysteria; Leucorrhea; Sore; Emmenagogue,Dermatosis (1); Diarrhea (37); Epilepsy (1); Swelling (3); Wound (12)
Rubus alceifolius,4,0,0,4,100.0,Dysentery; Dysuria; Parturition; Fever,
Papaver somniferum,4,2,0,6,66.7,Leprosy; Fever; Ache(Stomach); Piles,Diarrhea (3); Nausea (1)
Zingiber griffithii,4,0,0,4,100.0,Giddiness; Asthma; Enteritis; Fever,
Antidesma montanum,4,0,0,4,100.0,Chickenpox; Ache(Head); Malaria; Measles,
Lansium domesticum,4,3,0,7,57.1,Collyrium; Insectifuge; Vermifuge; Toothblack,Fever (1); Malaria (2); Dysentery (1)
Inocarpus edulis,4,0,0,4,100.0,Enterosis; Sorethroat?; Tonsillitis?; Astringent,
Uncaria longiflora,4,0,0,4,100.0,Anodyne; Rheumatism; Framboesia; Thrush,
Punica granatum,4,7,1,11,36.4,Bilious; Piles; Colic; Dysmenorrhea,Cough (4); Dermatosis (1); Diarrhea (30); Dysentery (9); Ophthalmia (1)
Brucea amarissima,4,0,0,4,100.0,Anodyne; Internal; Skin; Splenomegaly,
Melicope monophylla,4,0,0,4,100.0,Puerperium; Sore; Abdomen; Pimple,
Vitex pubescens,4,0,0,4,100.0,Fever; Inappetence; Ache(Stomach); Wound,
Smilax helferi,4,0,0,4,100.0,Dermatosis; Rheumatism; Boil; Syphilis,
Dianella sp.,4,0,0,4,100.0,Dysuria; Mucusitis; Vermifuge; Lumbago,
Vitis trifolia,4,0,0,4,100.0,Fever; Itch; Rhinosis; Sore,
Thespesia populnea,4,1,0,5,80.0,Itch; Pleurisy; Ache(Head); Cholera,Colic (1)
Breynia rhamnoides,4,0,0,4,100.0,Astringent; Hemorrhage; Parturition; Ache(Stomach),
Pachyrhizus erosus,4,0,0,4,100.0,Dermatosis; Laxative; Prickly heat; Vermifuge,
Gouania leptostachya,4,0,0,4,100.0,Dermatosis; Shampoo; Skin; Hair-Wash,
Lindernia cordifolia,4,0,0,4,100.0,Bilious; Boil; Dysentery; Poultice,
Desmodium heterophyllum,4,0,0,4,100.0,Earache; Enterosis; Sore; Ache(Stomach),
Ficus rumphii,4,0,0,4,100.0,Cosmetic; Expectorant; Bronchosis; Itch,
Ficus leucantatoma,4,2,0,6,66.7,Antidote(Fish poison); Proctosis; Prolapse; Deafness,Abscess (1); Dermatosis (2)
Stachytarpheta indica,4,0,0,4,100.0,Bruise; Dysentery; Gonorrhea; Sprain,
Goniothalamus macrophyllus,4,1,0,5,80.0,Cold; Parturition; Smallpox; Typhoid,Fever (1)
Petunga venulosa,4,0,0,4,100.0,Rheumatism; Smallpox; Sore; Ache(Stomach),
Pandanus furcatus,4,0,0,4,100.0,Antidote; Cough; Diarrhea; Dysentery,
Aganosma marginata,4,0,0,4,100.0,Emmenagogue; Fever; Urogenital; Tonic,
Strobilanthes flaccidifolius,4,0,0,4,100.0,Astringent; Cough; Diuretic; Ague,
Aerva sanguinolenta,4,0,0,4,100.0,Dysmenorrhea; Leucorrhea; Pyuria; Hematuria,
Allium ascalonium,4,5,1,9,44.4,Amenorrhea; Ophthalmia; Ache(Head); Vermifuge,Cholera (6); Diarrhea (62); Sore (6); Ache(Stomach) (6); Thrush (1)
Rafflesia patma,4,0,0,4,100.0,Aphrodisiac(Female); Dysmenorrhea; Hemostat; Parturition,
Solanum torvum,4,0,0,4,100.0,Antidote; Cracked feet; Fumitory; Parturition,
Phytocrene blancoi,4,0,0,4,100.0,Puerperium; Pinkeye; Pinworms; Piscicide,
Leptonychia heteroclita,4,0,0,4,100.0,Parturition; Sore; Fever; Rhinosis,
Lycopodium phlegmaria,4,0,0,4,100.0,Gastrosis; Pulmonosis; Emmenagogue; Dropsy,
Limnophila aromatica,4,0,0,4,100.0,Carminative; Fever; Sore; Poultice,
Antiaris toxicaria,4,0,0,4,100.0,Arrow-poison; Cardiopathy; Poison(Arrow); Homicide,
Santiria griffithii,4,0,0,4,100.0,Aphrodisiac; Impotence; Tonic; Rheumatism,
Mallotus macrostachyus,4,0,0,4,100.0,Boil; Circumscission; Wound; Fever,
Durio zibethinus,4,2,0,6,66.7,Jaundice; Parturition; Tonic; Dermatosis,Cancer (5); Fever (1)
Piper nigrum,4,2,0,6,66.7,Cancer(Nose); Colic; Gonorrhea; Ache(Head),Abortifacient (2); Cholera (2)
Poililospermum suaveolens,4,1,0,5,80.0,Pediculicide; Shampoo; Watervine; Ophthalmia,Fever (13)
Nasturtium indicum,4,0,0,4,100.0,Cold; Cystitis?; Bladder; Fever,
Baeckea frutescens,4,0,0,4,100.0,Dysmenorrhea; Fever; Lassitude; Parturition,
Poikilospermum suaveolens,4,0,0,4,100.0,Eye; Numbness; Water; Wound,
Dracaena porteri,4,0,0,4,100.0,Anodyne; Rheumatism; Sore; Vermifuge,
Hibiscus tiliaceus,4,1,0,5,80.0,Boil; Bronchitis; Cough; Fever,Swelling (1)
Borassus flabellifera,4,0,0,4,100.0,Diuretic; Dysentery; Hemoptysis; Tuberculosis,
Litsea luzonica,4,0,0,4,100.0,Anodyne; Waist; Boil; Wound,
Foeniculum vulgare,4,1,0,5,80.0,Dermatosis; Hepatosis; Abdomen; Gastralgia,Rheumatism (1)
Psychotria viridiflora,4,0,0,4,100.0,Dermatosis; Female; Bite(Snake); Bugbite,
Maesa ramentacea,4,0,0,4,100.0,Angina?; Dermatosis; Itch; Skin,
Daemonorops sp.,4,0,0,4,100.0,Dyspepsia; Maculitis; Sprue; Ache(Stomach),
Hyptis brevipes,4,0,0,4,100.0,Ache(Head); Parturition; Puerperium; Vermifuge,
Eurya japonica,4,1,0,5,80.0,Dermatosis; Parturition; Pustules; Eruption,Skin (1)
Trevesia cheirantha,4,1,0,5,80.0,Sore; Fever; Fracture; Ague,Rheumatism (1)
Derris cebuensis,4,0,0,4,100.0,Anodyne; Internal; Stomach; Piscicide,
Alocasia indica,4,0,0,4,100.0,Bite(Snake); Tumor; Laxative; Sore,
Premna tomentosa,4,0,0,4,100.0,Ache(Stomach); Vermifuge; Diarrhea; Parturition,
Cassia nodosa,4,0,0,4,100.0,Boil; Itch; Purgative; Fever,
Solanum indicum,4,0,0,4,100.0,Diuretic; Rhinosis; Sore; Ache(Tooth),
Wikstroemia ridleyi,4,0,0,4,100.0,Aperient; Nausea; Smallpox; Boil,
Macaranga hypoleuca,4,0,0,4,100.0,Antispasmodic; Expectorant; Fever; Spasm,
Coscinium blumeanum,4,0,0,4,100.0,Prickly heat; Sore; Wound; Piscicide,
Pycnarrhena manilensis,4,0,0,4,100.0,Bite(Snake); Cicatrizant; Tonic; Vulnerary,
Eupatorium triplinerve,4,0,0,4,100.0,Bronchosis; Diarrhea; Sudorific; Sore,
Phyllanthus frondosus,4,0,0,4,100.0,Diaphoretic; Fever; Diuretic; Parturition,
Willughbeia sp.,4,0,0,4,100.0,Jaundice; Malaria; Heartburn; Hysteria,
Cinnamomum sintok,4,0,0,4,100.0,Bugbite; Diarrhea; Numbness; Vermifuge,
Voacanga foetida,4,0,0,4,100.0,Pustule; Skin; Tumor; Fistula,
Tetracera macrophylla,4,0,0,4,100.0,Sore; Syphilis; Thrush; Watervine,
Triphasia trifolia,4,0,0,4,100.0,Colic; Cosmetic; Dermatosis; Diarrhea,
Artemisia vulgaris,4,1,0,5,80.0,Dermatosis; Emmenagogue; Scurf; Fumitory (Opium substitute),Colic (1)
Ardisia colorata,4,0,0,4,100.0,Cough; Diarrhea; Fever; Rheumatism,
Pisonia alba,4,0,0,4,100.0,Boil; Corn; Edema; Swelling,
Cardiospermum halicacabum,4,0,0,4,100.0,Bladder; Buboes; Conjunctivitis; Anodyne,
Helicteres isora,4,0,0,4,100.0,Aphrodisiac; Ache(Stomach); Parturition; Tonic,
Cassia alata,4,4,0,8,50.0,Herpes; Larvicide; Syphilis; Itch,Constipation (1); Ringworm (2); Skin (16); Scabies (1)
Ehretia philippensis,4,0,0,4,100.0,Dysentery; Tenesmus; Hematochezia; Diarrhea,
Globba panicoides,4,0,0,4,100.0,Fever; Rheumatism; Gonorrhea; Parturition,
Erythrina indica,4,1,0,5,80.0,Emmenagogue; Hematochezia; Lactagogue; Abscess,Sedative (3)
Zingiber ottensii,4,0,0,4,100.0,Convulsion; Cramps; Parturition; Sedative,
Melia dubia,4,0,0,4,100.0,Fever; Internal; Vermifuge; Anodyne,
Cyperus esculentus,4,0,0,4,100.0,Anodyne; Dysuria; Rhinosis; Sore,
Zanthoxylum avicennae,4,0,0,4,100.0,Bite(Snake); Antidote; Stomachic; Tonic,
Euphorbia pilulifera,4,0,0,4,100.0,Poison; Tattoo; Tumor; Eye,
Averrhoa carambola,4,4,0,8,50.0,Bilious; Chickenpox; Dermatosis; Ache(Head),Diarrhea (1); Hangover (1); Nausea (2); Ringworm (1)
Symplocos odoratissima,3,0,0,3,100.0,Parturition; Thrush; Aphthae,
Senecio scandens,3,0,0,3,100.0,Eye; Jaundice; Emetic,
Clerodendrum disparifolium,3,0,0,3,100.0,Constipation; Tonic; Ache(Tooth),
Cratoxylon cochinchinense,3,0,0,3,100.0,Dermatosis; Ache(Stomach); Itch,
Trichosanthes anguina,3,0,0,3,100.0,Emetic; Purgative; Vermifuge,
Jatropha gossypifolia,3,0,0,3,100.0,Candlenut; Leprosy; Purgative,
Fagraea blumei,3,0,0,3,100.0,Birdlime; Fever; Ache(Head),
Cratoxylon ligustrinum,3,0,0,3,100.0,Fever; Parturition; Toothblack,
Abelmoschus moschatus,3,1,0,4,75.0,Boil; Stomach; Hysteria,Cancer (1)
Eugenia malaccensis,3,0,0,3,100.0,Glossitis; Itch; Thrush,
Orchidantha longiflora,3,0,0,3,100.0,Ache(Back); Ache(Chest); Anodyne,
Melothria indica,3,0,0,3,100.0,Ophthalmia; Sore; Thrush,
Rhodamnia trinervia,3,0,0,3,100.0,Ache(Stomach); Parturition; Scald,
Macaranga triloba,3,0,0,3,100.0,Boil; Ache(Stomach); Abdomen,
